50
0	44	0.44
0	49	0.15
0	9	0.05
0	25	0.47
1	49	0.59
1	46	0.46
1	8	0.11
1	34	0.04
2	41	0.06
2	18	0.12
2	44	0.31
2	16	0.51
2	21	0.56
2	47	0.49
3	23	0.42
3	0	0.45
3	10	0.56
3	33	0.30
3	31	0.37
3	8	0.59
4	21	0.17
4	41	0.40
4	23	0.07
4	30	0.33
4	3	0.44
5	33	0.09
5	45	0.48
5	3	0.29
5	25	0.16
6	39	0.42
6	42	0.48
6	45	0.03
7	33	0.22
7	25	0.26
7	1	0.24
7	6	0.24
8	26	0.36
8	41	0.48
8	37	0.12
8	29	0.36
8	39	0.07
9	36	0.06
9	18	0.23
9	47	0.47
9	28	0.12
9	15	0.38
10	29	0.39
10	5	0.30
10	0	0.30
10	30	0.11
11	42	0.40
11	16	0.19
11	32	0.36
11	30	0.03
11	36	0.03
11	26	0.12
11	31	0.13
11	24	0.32
12	20	0.18
12	15	0.05
12	8	0.15
12	36	0.08
12	30	0.17
13	5	0.08
13	11	0.58
14	27	0.45
14	20	0.44
14	11	0.02
15	1	0.42
15	14	0.34
15	17	0.01
15	37	0.19
16	12	0.36
16	23	0.07
16	4	0.22
16	31	0.08
16	7	0.18
17	40	0.46
17	18	0.51
17	7	0.38
17	19	0.28
17	23	0.04
17	33	0.25
17	26	0.48
17	14	0.42
18	29	0.16
19	32	0.08
19	43	0.19
20	24	0.37
20	28	0.20
21	38	0.35
21	28	0.46
21	3	0.09
21	48	0.25
21	5	0.07
21	6	0.13
21	16	0.27
22	43	0.56
22	34	0.17
22	7	0.32
22	20	0.21
22	37	0.54
23	45	0.23
23	31	0.01
23	9	0.19
23	11	0.30
24	6	0.18
24	9	0.59
24	41	0.01
24	39	0.26
24	23	0.18
24	13	0.23
24	27	0.41
25	17	0.04
25	46	0.24
26	15	0.53
27	48	0.14
27	10	0.42
27	36	0.02
28	5	0.41
28	40	0.38
29	14	0.13
31	43	0.14
31	6	0.26
31	4	0.17
32	1	0.23
33	12	0.40
33	19	0.46
34	48	0.12
34	32	0.50
35	3	0.03
35	23	0.01
35	13	0.58
36	34	0.22
36	2	0.09
37	4	0.26
37	48	0.17
38	2	0.22
38	44	0.08
39	7	0.06
39	25	0.03
39	2	0.48
41	28	0.13
43	38	0.26
43	48	0.04
44	23	0.03
45	27	0.05
46	48	0.09
46	43	0.02
46	34	0.03
47	38	0.09
48	12	0.05
48	35	0.03
48	21	0.15
48	34	0.28
